Employee_Name;EmpID;MarriedID;MaritalStatusID;GenderID;EmpStatusID;DeptID;PerfScoreID;FromDiversityJobFairID;Salary;Termd;PositionID;Position;DOB;Sex;MaritalDesc;DateofHire;DateofTermination;TermReason;EmploymentStatus;Department;ManagerName;ManagerID;RecruitmentSource;Recruitment;PerformanceScore;EngagementSurvey;EmpSatisfaction;SpecialProjectsCount;LastPerformanceReview_Date;DaysLateLast30;Absences
Barbossa, Hector;10012;0;2;1;1;3;4;1;92328;0;9;Data Analyst;07/04/88;M ;Divorced;11/10/2014;;N/A-StillEmployed;Active;IT/IS;Simon Roup;4;Diversity Job Fair;5;Exceeds;4.28;4;5;2/25/2019;0;9
Barone, Francesco  A;10265;0;0;1;1;5;3;0;58709;0;19;Production Technician I;07/20/83;M ;Single;2/20/2012;;N/A-StillEmployed;Active;Production       ;Amy Dunn;11;Google Search;3;Fully Meets;4.60;4;0;2/14/2019;0;7
Barton, Nader;10066;0;2;1;5;5;3;0;52505;1;19;Production Technician I;07/15/77;M ;Divorced;9/24/2012;4/6/2017;Another position;Voluntarily Terminated;Production       ;Michael Albert;22;On-line Web application;6;Fully Meets;5.00;5;0;3/2/2017;0;1
Bates, Norman;10061;0;0;1;4;5;3;0;57834;1;19;Production Technician I;10/18/81;M ;Single;2/21/2011;8/4/2017;attendance;Terminated for Cause;Production       ;Amy Dunn;11;Google Search;3;Fully Meets;5.00;4;0;4/5/2017;0;20
Beak, Kimberly  ;10023;1;1;0;2;5;4;0;70131;0;20;Production Technician II;04/17/66;F;Married;7/21/2016;;N/A-StillEmployed;Active;Production       ;Amy Dunn;11;Employee Referral;4;Exceeds;4.40;3;0;1/14/2019;0;16
Beatrice, Courtney ;10055;0;0;0;1;5;3;0;59026;0;19;Production Technician I;10/27/70;F;Single;4/4/2011;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;Google Search;3;Fully Meets;5.00;5;0;1/14/2019;0;12
Becker, Renee;10245;0;0;0;4;3;3;0;110000;1;8;Database Administrator;04/04/86;F;Single;7/7/2014;9/12/2015;performance;Terminated for Cause;IT/IS;Simon Roup;4;Google Search;3;Fully Meets;4.50;4;5;1/15/2015;0;8
Becker, Scott;10277;0;0;1;3;5;3;0;53250;0;19;Production Technician I;04/06/79;M ;Single;7/8/2013;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;LinkedIn;1;Fully Meets;4.20;4;0;1/11/2019;0;13
Bernstein, Sean;10046;0;0;1;1;5;3;0;51044;0;19;Production Technician I;12/22/70;M ;Single;4/2/2012;;N/A-StillEmployed;Active;Production       ;Amy Dunn;11;Google Search;3;Fully Meets;5.00;3;0;1/14/2019;0;13
Biden, Lowan  M;10226;0;2;0;1;5;3;0;64919;0;19;Production Technician I;12/27/58;F;Divorced;8/19/2013;;N/A-StillEmployed;Active;Production       ;Amy Dunn;11;Indeed;2;Fully Meets;4.20;3;0;1/10/2019;0;2
Billis, Helen;10003;1;1;0;1;5;4;0;62910;0;19;Production Technician I;09/01/89;F;Married;7/7/2014;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;Indeed;2;Exceeds;5.00;3;0;2/27/2019;0;19
Blount, Dianna;10294;0;0;0;1;5;2;0;66441;0;20;Production Technician II;09/21/90;F;Single;4/4/2011;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;CareerBuilder;7;Needs Improvement;2.00;3;0;2/27/2019;2;3
Bondwell, Betsy;10267;0;0;0;5;5;3;0;57815;1;20;Production Technician II;01/16/67;F;Single;1/10/2011;4/4/2014;career change;Voluntarily Terminated;Production       ;Simon Roup;4;Google Search;3;Fully Meets;4.80;5;0;3/4/2014;0;5
Booth, Frank;10199;0;0;1;4;3;3;0;103613;1;30;Enterprise Architect;07/30/64;M ;Single;2/17/2014;2/19/2016;Learned that he is a gangster;Terminated for Cause;IT/IS;Simon Roup;4;LinkedIn;1;Fully Meets;3.50;5;7;1/10/2016;0;2
Boutwell, Bonalyn;10081;1;1;0;1;1;3;1;106367;0;26;Sr. Accountant;04/04/87;F;Married;2/16/2015;;N/A-StillEmployed;Active;Admin Offices;Michael Albert;22;Diversity Job Fair;5;Fully Meets;5.00;4;3;2/18/2019;0;4
Bozzi, Charles;10175;0;0;1;5;5;3;0;74312;1;18;Production Manager;03/10/70;M ;Single;9/30/2013;8/7/2014;retiring;Voluntarily Terminated;Production       ;Michael Albert;22;Indeed;2;Fully Meets;3.39;3;0;2/20/2014;0;14
Brill, Donna;10177;1;1;0;5;5;3;0;53492;1;19;Production Technician I;08/24/90;F;Married;4/2/2012;6/15/2013;Another position;Voluntarily Terminated;Production       ;Michael Albert;22;Google Search;3;Fully Meets;3.35;4;0;3/4/2013;0;6
Brown, Mia;10238;1;1;0;1;1;3;1;63000;0;1;Accountant I;11/24/87;F;Married;10/27/2008;;N/A-StillEmployed;Active;Admin Offices;Michael Albert;22;Diversity Job Fair;5;Fully Meets;4.50;2;6;1/15/2019;0;14
